2023-05-01 09:30:04.387 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-05-01 09:30:04.390 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
2023-05-01 09:30:07.357 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-05-01 09:30:07.376 [main] INFO  top.kjwang.ServerApplication - Starting ServerApplication using Java 17.0.6 with PID 16365 (/Users/wangkaijie/Desktop/api-boot/api-server/target/classes started by wangkaijie in /Users/wangkaijie/Desktop/api-boot)
2023-05-01 09:30:07.376 [main] INFO  top.kjwang.ServerApplication - The following 1 profile is active: "dev"
2023-05-01 09:30:07.827 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-05-01 09:30:07.828 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-05-01 09:30:07.845 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
2023-05-01 09:30:08.188 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-01 09:30:08.193 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-01 09:30:08.193 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-01 09:30:08.193 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-05-01 09:30:08.235 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-01 09:30:08.235 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 840 ms
2023-05-01 09:30:09.085 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@34e07e65, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7ca0166c, org.springframework.security.web.context.SecurityContextHolderFilter@4895e8f6, org.springframework.security.web.header.HeaderWriterFilter@3514237f, org.springframework.security.web.authentication.logout.LogoutFilter@3c1908c8, top.kjwang.security.filter.AuthenticationTokenFilter@4beae1e3, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@58b03029, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@539dd2d0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1dcad16f, org.springframework.security.web.session.SessionManagementFilter@5ebe903a, org.springframework.security.web.access.ExceptionTranslationFilter@50c2ef56, org.springframework.security.web.access.intercept.AuthorizationFilter@37fffef3]
2023-05-01 09:30:09.273 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-01 09:30:09.283 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-01 09:30:09.288 [main] INFO  top.kjwang.ServerApplication - Started ServerApplication in 2.072 seconds (process running for 2.548)
2023-05-01 09:30:16.763 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-01 09:30:16.764 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-01 09:30:16.765 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-05-01 09:30:17.470 [http-nio-8080-exec-23] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 213 ms
2023-05-01 09:31:52.022 [http-nio-8080-exec-4] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
2023-05-01 09:31:52.160 [http-nio-8080-exec-4] INFO  com.zaxxer.hikari.pool.HikariPool - MakuHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@6e5533d5
2023-05-01 09:31:52.160 [http-nio-8080-exec-4] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Start completed.
2023-05-01 09:37:52.798 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-05-01 09:37:52.800 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
2023-05-01 09:37:55.278 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-05-01 09:37:55.293 [main] INFO  top.kjwang.ServerApplication - Starting ServerApplication using Java 17.0.6 with PID 16426 (/Users/wangkaijie/Desktop/api-boot/api-server/target/classes started by wangkaijie in /Users/wangkaijie/Desktop/api-boot)
2023-05-01 09:37:55.294 [main] INFO  top.kjwang.ServerApplication - The following 1 profile is active: "dev"
2023-05-01 09:37:55.637 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-05-01 09:37:55.638 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-05-01 09:37:55.654 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2023-05-01 09:37:55.947 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-01 09:37:55.951 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-01 09:37:55.951 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-01 09:37:55.951 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-05-01 09:37:55.987 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-01 09:37:55.987 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 680 ms
2023-05-01 09:37:56.791 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@681b42d3, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@77f7352a, org.springframework.security.web.context.SecurityContextHolderFilter@6a116354, org.springframework.security.web.header.HeaderWriterFilter@745cf754, org.springframework.security.web.authentication.logout.LogoutFilter@287317df, top.kjwang.security.filter.AuthenticationTokenFilter@5408d4b3, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@34e07e65, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7ca0166c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4ede8888, org.springframework.security.web.session.SessionManagementFilter@6315bb4, org.springframework.security.web.access.ExceptionTranslationFilter@7aa63f50, org.springframework.security.web.access.intercept.AuthorizationFilter@5f781173]
2023-05-01 09:37:56.971 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-01 09:37:56.980 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-01 09:37:56.984 [main] INFO  top.kjwang.ServerApplication - Started ServerApplication in 1.824 seconds (process running for 2.236)
2023-05-01 09:38:03.447 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-01 09:38:03.447 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-01 09:38:03.449 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2023-05-01 09:38:03.699 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
2023-05-01 09:38:03.832 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.pool.HikariPool - MakuHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@6320bcb4
2023-05-01 09:38:03.833 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Start completed.
2023-05-01 09:39:51.773 [http-nio-8080-exec-19] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 177 ms
2023-05-01 09:40:39.578 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-05-01 09:40:39.580 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
2023-05-01 09:40:57.350 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-05-01 09:40:57.364 [main] INFO  top.kjwang.ServerApplication - Starting ServerApplication using Java 17.0.6 with PID 16454 (/Users/wangkaijie/Desktop/api-boot/api-server/target/classes started by wangkaijie in /Users/wangkaijie/Desktop/api-boot)
2023-05-01 09:40:57.365 [main] INFO  top.kjwang.ServerApplication - The following 1 profile is active: "dev"
2023-05-01 09:40:57.713 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-05-01 09:40:57.714 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-05-01 09:40:57.731 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
2023-05-01 09:40:58.029 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-01 09:40:58.033 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-01 09:40:58.033 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-01 09:40:58.034 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-05-01 09:40:58.073 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-01 09:40:58.073 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 694 ms
2023-05-01 09:40:58.892 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@55b74e6b, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3c1908c8, org.springframework.security.web.context.SecurityContextHolderFilter@2bf4fa1, org.springframework.security.web.header.HeaderWriterFilter@f08f8a9, org.springframework.security.web.authentication.logout.LogoutFilter@49153009, top.kjwang.security.filter.AuthenticationTokenFilter@5731caaf, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3a12f3e7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@84a9f65, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6bc62bb9, org.springframework.security.web.session.SessionManagementFilter@520ee6b3, org.springframework.security.web.access.ExceptionTranslationFilter@57eed461, org.springframework.security.web.access.intercept.AuthorizationFilter@321b7b9e]
2023-05-01 09:40:59.076 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-01 09:40:59.084 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-01 09:40:59.089 [main] INFO  top.kjwang.ServerApplication - Started ServerApplication in 1.867 seconds (process running for 2.3)
2023-05-01 09:41:03.263 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-01 09:41:03.264 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-01 09:41:03.265 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
